t,DXL_PWM,DXL_Current,DXL_Velocity,DXL_Position,DXL_Input_Voltage,U,position_reference,velocity_from_meas,velocity_from_ref,acc_from_velocity_from_meas,acc_from_meas,acc_from_ref,torque_hip_from_ref,position_from_julia_hip
12.08,-0.2712,-0.00269,-0.5995205980600522,0.38899898368449626,11.9,-3.22728,0.33574880109050703,-0.6527531402458786,-0.7225402970799528,-0.5999569303730716,-0.7494007475750641,-0.5284095320327911,0.21929268121128126,0.3370972012690896
12.16,-0.30284,-0.00538,-0.6474822459048563,0.3352428427230709,11.9,-3.603796,0.2762503873288565,-0.700749694675725,-0.7611649659522963,-0.5999569303730645,-0.5995205980600513,-0.43476949856025904,0.18158733005783434,0.2774868815329819
12.24,-0.33448,-0.02152,-0.6954438937496605,0.27687903253638013,11.9,-3.980312,0.21396240653813953,-0.748746249105569,-0.7921034168495943,-0.4799655442984223,-0.5995205980600522,-0.33673917745713133,0.14139680628198092,0.21491971853098008
12.32,-0.3503,-0.024210000000000002,-0.7434055415944647,0.21544344286617978,11.9,-4.16857,0.14951384063292128,-0.7775441817634726,-0.8150432343454374,-0.2999784651865065,-0.44964044854503893,-0.2353084755765833,0.09921090607154748,0.1500898740768332
12.4,-0.3503,-0.029589999999999998,-0.7673863655168668,0.15247196345422442,11.9,-4.16857,0.08355548904286943,-0.79674280353541,-0.8297527729418477,-0.23998277214921782,-0.14988014951501238,-0.13150163670134773,0.05559256889290455,0.0837376209713727
12.48,-0.36612,-0.040350000000000004,-0.7673863655168668,0.08796459430051407,11.9,-4.356828,0.016753396962225532,-0.8159414253073476,-0.836083496217653,-7.993605777301127e-15,-0.14988014951501416,-0.02636689876488507,0.011159673294881323,0.016621906934729574
12.56,-0.38985,-0.05111,-0.791367189439269,0.021921335405048703,11.9,-4.639215,-0.050217870351955164,-0.7967428035354114,-0.8339714767442292,0.059995693037295794,0.0,0.07903409121990723,-0.033437777388588746,-0.0505089638463633
12.64,-0.39776000000000006,-0.06994,-0.7673863655168668,-0.03951425426515187,11.9,-4.733344000000001,-0.11668203931685125,-0.8063421144213803,-0.8234380416224678,-0.11999138607459336,-0.1498801495150115,0.18363699763576413,-0.07754321338507646,-0.11694231765550749
12.72,-0.38985,-0.08070000000000001,-0.815348013361671,-0.10709340290237224,11.9,-4.639215,-0.1819679570115501,-0.8159414253073463,-0.8045895571225069,0.17998707911191492,-0.14988014951501416,0.286385543886154,-0.12051962192761338,-0.18201663938211166
12.8,-0.38985,-0.07263,-0.791367189439269,-0.17006488231432737,11.9,-4.639215,-0.24541636845645246,-0.7775441817634738,-0.7776163546006831,0.35997415822382006,0.44964044854503804,0.386242178640944,-0.16177399181920762,-0.2451252770349181
12.88,-0.38985,-0.07801000000000001,-0.7434055415944647,-0.23150047198452817,11.9,-4.639215,-0.30638657374765954,-0.758345559991535,-0.7427908085399559,0.35997415822384404,0.4496404485450398,0.48219855299356773,-0.2007780277457046,-0.30570942303027177
12.96,-0.38194,-0.08608,-0.7194247176720626,-0.29140017191297307,11.9,-4.545086,-0.3642628978228455,-0.7199483164476588,-0.7004645861217123,0.4799655442984285,0.29976029903002654,0.5732857027345863,-0.2370835044302742,-0.3632444144774201
13.040000000000001,-0.36612,-0.09684000000000001,-0.6954438937496605,-0.34669220261615363,11.9,-4.356828,-0.41846090752713355,-0.6815510729037864,-0.651065096102422,0.5399612373357363,0.5995205980600522,0.6585838329198284,-0.2703312194717804,-0.41722486138431675
